ml,F,D,L,S,P,W,target
0.001,5.44,23.81,4.14,7.51,2.73,6.73,1
0.007,5.66,24.09,4.2,7.64,2.77,4.8,1
0.012,5.43,24.12,4.29,7.79,2.83,3.07,1
0.017,5.47,24.01,4.31,7.8,2.85,5.57,1
0.022,5.48,24.32,4.32,7.83,2.88,5.59,1
0.027,5.55,24.47,4.41,7.91,2.89,5.59,1
0.032,5.63,24.51,4.49,7.93,2.93,5.61,1
0.037,5.65,24.63,4.51,7.97,2.97,5.01,1
0.042,5.71,24.71,4.63,8.01,3.03,5.03,1
0.047,5.79,24.83,4.71,8.09,3.07,5.14,1
0.01,5.77,24.87,4.31,7.79,2.86,0,2
0.02,5.73,24.89,4.33,7.83,2.87,0,2
0.03,5.69,24.93,4.37,7.87,2.99,0,2
0.04,5.68,24.97,4.39,7.91,2.94,0,2
0.05,5.58,24.99,4.42,7.93,2.97,0,2
0.06,5.57,25.01,4.45,7.95,2.99,0,2
0.07,5.53,25.17,4.47,7.99,3.02,0,2
0.08,5.51,24.98,4.46,7.97,3.05,0,2
0.09,5.56,25.22,4.51,7.98,3.09,0,2
0.1,5.61,25.24,4.54,7.99,3.14,0,2
0.002,6.71,20.3,3.15,6.9,2.48,0,3
0.007,6.68,20.3,3.14,6.87,2.45,0,3
0.012,6.67,19.97,3.14,6.86,2.42,0,3
0.017,6.65,19.95,3.1,6.83,2.41,0,3
0.022,6.61,19.93,3.28,6.81,2.38,0,3
0.027,6.6,19.89,3.06,6.73,2.37,0,3
0.032,5.59,19.85,3.04,6.71,2.38,0,3
0.037,5.57,19.84,3.01,6.7,2.35,0,3
0.042,6.53,19.79,2.97,6.07,2.33,0,3
0.047,5.49,19.76,2.99,6.05,2.31,0,3
0.007,7.97,27.59,4.99,9.08,3.28,0,4
0.01,8.06,27.62,5.01,9.1,3.29,0,4
0.013,8.34,27.93,5.34,9.43,3.32,0,4
0.016,8.39,29.13,5.39,9.52,3.29,0,4
0.019,8.4,30.1,5.42,9.69,3.52,0,4
0.022,8.4,30.67,5.23,10.01,3.65,0,4
0.025,8.42,31,5.55,10.34,3.76,0,4
0.028,8.49,31.03,5.79,10.69,3.96,0,4
0.031,8.54,32.02,6.01,11.03,4.12,0,4
0.034,8.59,32.27,6.14,11.1,4.15,0,4
0.1,10.07,23.6,4.67,8.48,3.05,0,5
0.2,9.97,25.8,4.98,9.05,3.26,0,5
0.3,9.31,26.92,5.54,10.06,3.54,0,5
0.4,9.21,27.45,5.71,10.37,3.96,0,5
0.5,9.04,29.54,5.94,14.54,4.12,0,5
0.6,8.87,30.76,8.01,15.23,4.15,0,5
0.7,8.64,32.44,8.23,15.44,4.17,0,5
0.8,8.34,34.32,8.44,15.92,4.21,0,5
0.9,8.21,36.12,8.62,16.12,4.31,0,5
1,8.03,38.32,8.89,16.32,4.42,0,5
1.1,7.97,39.17,9.12,16.52,4.61,0,5
0.002,6.71,20.3,3.15,6.9,2.48,0,6
0.007,6.68,20.3,3.14,6.87,2.45,0,6
0.012,6.67,19.97,3.14,6.86,2.42,0,6
0.017,6.65,19.95,3.1,6.83,2.41,0,6
0.022,6.61,19.93,3.28,6.81,2.38,0,6
0.027,6.6,19.89,3.06,6.73,2.37,0,6
0.032,5.59,19.85,3.04,6.71,2.38,0,6
0.037,5.57,19.84,3.01,6.7,2.35,0,6
0.042,6.53,19.79,2.97,6.07,2.33,0,6
0.047,5.49,19.76,2.99,6.05,2.31,0,6
950,7.64,28.64,5.17,9.31,3.3,0,7
960,7.47,28.71,5.21,9.34,3.24,0,7
970,7.26,28.77,5.25,9.37,3.19,0,7
980,7.09,28.83,5.27,9.4,3.06,0,7
990,6.03,28.89,5.29,9.41,2.95,0,7
1000,6.31,28.93,5.32,9.43,2.72,0,7
1010,6.52,29.01,5.35,9.45,2.61,0,7
1020,6.74,29.21,5.39,9.48,2.5,0,7
1030,6.86,29.26,5.42,9.49,2.39,0,7
1040,5.04,29.29,5.46,9.54,2.24,0,7
